n_lines,mean_angle,std_angle,mean_abs_angle,mean_length,max_length,left_count,right_count,balance_lr,center_bottom,center_error,vanishing_x,vanishing_error,confidence,omega_true,oracle_confidence,frame_ts_ns
45.0,0.09709320217370987,0.5652638673782349,0.38527625799179077,92.04524993896484,315.572509765625,20.0,25.0,0.1111111111111111,297.774611508659,-0.0694543390354406,277.0706481933594,-0.13415422439575195,1.0,-0.03999373944395575,0.5,1779451118594644291
41.0,0.08091794236337141,0.6159398786665911,0.4045853374964422,100.2493896484375,288.17529296875,19.0,22.0,0.07317073170731707,309.0,-0.034375,401.875,0.255859375,1.0,-0.044452688690105484,0.75,1779451118630357174
46.0,0.10389150914495182,0.651124154528839,0.44967135803735553,94.68204498291016,288.17529296875,26.0,20.0,-0.13043478260869565,309.5,-0.0328125,273.00726318359375,-0.14685230255126952,1.0,-0.049360706556833694,1.0,1779451118661987055
46.0,0.07333620905168567,0.6197079431583541,0.42696813899154135,90.77360534667969,288.17529296875,22.0,24.0,0.043478260869565216,314.6142419014759,-0.01683049405788779,371.2801818847656,0.16025056838989257,1.0,-0.04467151061706118,0.75,1779451118695062021
42.0,0.16750404396717503,0.6406206276239287,0.44230464325377383,93.26539611816406,288.9186706542969,20.0,22.0,0.047619047619047616,309.57042253521126,-0.0325924295774648,277.26953125,-0.13353271484375,1.0,-0.051156947019402786,1.0,1779451118729789873
45.0,0.13581565552827818,0.6379313662602034,0.43349270059542955,97.33503723144531,310.6010437011719,21.0,24.0,0.06666666666666667,312.1139930252833,-0.024643771795989623,278.989990234375,-0.12815628051757813,1.0,-0.05002672896979281,1.0,1779451118762637033
43.0,0.15285417008994504,0.6070962577443936,0.4280783289335344,92.22224426269531,288.9186706542969,19.0,24.0,0.11627906976744186,316.0,-0.0125,278.62127685546875,-0.12930850982666015,1.0,-0.044452688690105484,0.75,1779451118795029493
46.0,0.08771616178221564,0.5880918222143214,0.3807306668099685,89.54605865478516,311.3326110839844,24.0,22.0,-0.043478260869565216,297.66787323037323,-0.06978789615508366,263.034912109375,-0.17801589965820314,1.0,-0.047396677818022315,0.75,1779451118828754257
47.0,0.13988460503797998,0.6287415203165685,0.4247311584584298,91.12857055664062,314.1592102050781,23.0,24.0,0.02127659574468085,308.7843925233645,-0.035048773364485974,182.49224853515625,-0.42971172332763674,1.0,-0.04913463363985744,1.0,1779451118862006312
49.0,0.12237613897658522,0.6310736579083724,0.4310878783856159,87.03900146484375,288.17529296875,26.0,23.0,-0.061224489795918366,312.48751526858507,-0.023476514785671653,278.1081237792969,-0.13091211318969725,1.0,-0.053036782309878745,1.0,1779451118896363738
